Transaction Name,Transaction Name URL,Announced Date,Investor Names
Seed Round - Magic Bus,https://www.crunchbase.com/funding_round/magic-bus-seed--c6e75bf3,2019-01-01,Lightbox
Venture Round - Kaarva,https://www.crunchbase.com/funding_round/kaarva-series-unknown--b139c6cf,2019-01-01,"Gemba Capital, Lead Angels Network"
Venture Round - Jump AI,https://www.crunchbase.com/funding_round/jump-ai-series-unknown--1fb38276,2019-01-01,"Exfinity Venture Partners, growX ventures"
Venture Round - Cleartrip,https://www.crunchbase.com/funding_round/cleartrip-series-unknown--469206bf,2019-01-01,Lightbox
Venture Round - Varthana,https://www.crunchbase.com/funding_round/varthana-series-unknown--bf9f2f95,2019-01-01,Aspada
Seed Round - Neuu Store,https://www.crunchbase.com/funding_round/neuu-store-seed--491e6437,2019-01-01,Lightspeed India Partners
Venture Round - PaperToStone,https://www.crunchbase.com/funding_round/papertostone-series-unknown--4c77005f,2019-01-01,"growX ventures, Tracxn labs"
Venture Round - Parabo Press,https://www.crunchbase.com/funding_round/parabo-press-series-unknown--59a6d500,2019-01-01,Lightbox
Venture Round - Aye Finance,https://www.crunchbase.com/funding_round/aye-finance-series-unknown--b12e4944,2019-01-01,Aspada
Post-IPO Equity - Info Edge,https://www.crunchbase.com/funding_round/info-edge-post-ipo-equity--9b00d478,2019-01-01,Lightbox
Venture Round - InMobi,https://www.crunchbase.com/funding_round/inmobi-series-unknown--118fa825,2019-01-01,Lightbox
Venture Round - Kotak Solar,https://www.crunchbase.com/funding_round/kotak-solar-series-unknown--fafa74fc,2019-01-01,Lightbox
Pre Seed Round - AoCubo,https://www.crunchbase.com/funding_round/loopimóveis-com-pre-seed--1759acd8,2019-01-01,Cristiano Kanashiro
Venture Round - Exclusively,https://www.crunchbase.com/funding_round/exclusively-in-series-unknown--74b0edff,2019-01-01,"Mumbai Angels, Orios Venture Partners"
Venture Round - SureClaim,https://www.crunchbase.com/funding_round/sureclaim-series-unknown--ec875ef5,2019-01-01,"Astarc Ventures, Gemba Capital"
Venture Round - Jigsee,https://www.crunchbase.com/funding_round/jigsee-series-unknown--893bd3ea,2019-01-01,Orios Venture Partners
Angel Round - DEXL Education,https://www.crunchbase.com/funding_round/dexl-education-angel--8bb2c63c,2019-01-01,Mumbai Angels
Venture Round - Alphavector,https://www.crunchbase.com/funding_round/alphavector-series-unknown--56507eb2,2019-01-01,Fireside Ventures
Venture Round - Kidfresh,https://www.crunchbase.com/funding_round/kidfresh-series-unknown--d55f552c,2019-01-01,AF Ventures (formerly AccelFoods)
Pre Seed Round - New Manhattan,https://www.crunchbase.com/funding_round/new-manhattan-pre-seed--648d4683,2019-01-01,Bob Stauffer
Seed Round - Payris,https://www.crunchbase.com/funding_round/payris-seed--dc0b7751,2019-01-01,WeFund Ventures
Seed Round - Video Promotion Club,https://www.crunchbase.com/funding_round/video-promotion-club-seed--a6e92dfe,2019-01-01,
Pre Seed Round - Legendairy Foods,https://www.crunchbase.com/funding_round/legendairy-foods-pre-seed--6a9792f3,2019-01-01,Atlantic Food Labs
Grant - Nanomik Biotechnology,https://www.crunchbase.com/funding_round/nanomik-biotechnology-grant--a9fea74f,2019-01-01,Grants4Apps Turkey
Seed Round - View Accelerator,https://www.crunchbase.com/funding_round/view-accelerator-seed--f47b37a8,2019-01-01,BlueBox Ventures
Seed Round - SoftMatch,https://www.crunchbase.com/funding_round/softmatch-seed--5b300d27,2019-01-01,Ecliptic Capital
Pre Seed Round - Riv,https://www.crunchbase.com/funding_round/riv-pre-seed--1bdcb975,2019-01-01,Edward Robertson
Seed Round - Voogy,https://www.crunchbase.com/funding_round/voogy-seed--7ff8a4fb,2019-01-01,Software Founders
Seed Round - RunCloud,https://www.crunchbase.com/funding_round/runcloud-seed--1bfecdad,2019-01-01,Business Angles
Private Equity Round - Marugame Udon,https://www.crunchbase.com/funding_round/marugame-udon-private-equity--cdda3d3a,2019-01-01,Hargett Hunter Capital Partners
Seed Round - BeautiCo,https://www.crunchbase.com/funding_round/beautico-seed--ab015762,2019-01-01,Venture Catalysts
Convertible Note - Creator,https://www.crunchbase.com/funding_round/creator-convertible-note--99077e39,2019-01-01,Dragon Capital
