Investor Name,Announced Date
2019-04-17,BASF Venture Capital
2019-04-17,Comcast Ventures
2019-04-17,Engine
2019-04-17,Pillar VC
2019-04-17,Pitango Venture Capital
2019-04-17,Prelude Ventures
2019-04-17,Robert Bosch Venture Capital
2019-04-17,The Engine
Brand Foundry Ventures,2019-04-17
2019-04-17,Collaborative Fund
2019-04-17,Family Angel Management Fund
Liquid 2 Ventures,2019-04-17
2019-04-17,Maveron
2019-04-17,Sesame Street
SoGal Ventures,2019-04-17
2019-04-17,Yes VC
2019-04-17,GELLIFY
2019-04-17,.406 Ventures
2019-04-17,Battery Ventures
Intermountain Healthcare,2019-04-17
2019-04-17,RRE Ventures
Braemar Energy Ventures,2019-04-17
2019-04-17,Cycle Capital
2019-04-17,Fondaction
2019-04-17,Fonds de solidarité FTQ
2019-04-17,Investissement Quebec
2019-04-17,National Bank of Canada
2019-04-17,Rho Ventures
2019-04-17,Suncor Energy
2019-04-17,Sunkem
2019-04-17,The Westly Group
2019-04-17,Ascension Ventures
2019-04-17,Charlie Songhurst
2019-04-17,Den Sarah Willingham
2019-04-17,Entrepreneur First
2019-04-17,Graham Lund
2019-04-17,John McAndrew
NFT Ventures,2019-04-17
2019-04-17,Serge Chiaramonte
Access Ventures,2019-04-17
2019-04-17,Branson Bollinger
2019-04-17,David Lee
2019-04-17,Dekrypt Capital
2019-04-17,Kevin Moore
2019-04-17,Kilowatt Capital LLC
Lemniscap,2019-04-17
2019-04-17,Vy Capital
2019-04-17,Xpring
2019-04-17,Ash Pournouri
2019-04-17,Base Ventures
2019-04-17,Filip Felician Dames
2019-04-17,Garrett Camp
2019-04-17,John Doerr
Karl-Johan Persson,2019-04-17
2019-04-17,Khaled Helioui
Sebastian Picardo,2019-04-17
2019-04-17,Sweet Capital
Bpifrance,2019-04-17
2019-04-17,EDUCAPITAL
Hi Inov - Dentressangle,2019-04-17
2019-04-17,Isai
XAnge,2019-04-17
2019-04-17,ATX Venture Partners
Okapi Venture Capital,2019-04-17
2019-04-17,Rise of the Rest
2019-04-17,Stage Venture Partners
Sway Ventures,2019-04-17
2019-04-17,Techstars Ventures
2019-04-17,Emerge
Magma Venture Partners,2019-04-17
2019-04-17,Square Peg Capital
2019-04-17,TLV Partners
2019-04-17,Bold Capital Partners
2019-04-17,Hambrecht Healthcare Growth Venture Fund
2019-04-17,Marc Benioff
2019-04-17,Matthew Harris
2019-04-17,Nomad Capital Partners
Physician Partners,2019-04-17
2019-04-17,CI Financial Inc
2019-04-17,FirePower Capital
2019-04-17,Glenn Murphy
2019-04-17,INFOR Financial Inc.
2019-04-17,Shoppers Drug Mart
2019-04-17,WD Capital Markets
2019-04-17,Windsor Private Capital
Point Nine Capital,2019-04-17
Project A Ventures,2019-04-17
2019-04-17,MassMutual Ventures
Synchrony Financial,2019-04-17
2019-04-17,TransUnion
2019-04-17,Wellington Management
360 Capital Partners,2019-04-17
Axeleo,2019-04-17
2019-04-17,Idinvest Partners
2019-04-17,iAngels
2019-04-17,KdT Ventures
StageOne Ventures,2019-04-17
Industrifonden,2019-04-17
2019-04-17,Investment AB Spiltan
2019-04-17,Lucion
Marathon Venture Partners,2019-04-17
2019-04-17,Wuxi Capital
Falkensteiner Ventures,2019-04-17
2019-04-17,Greycroft
2019-04-17,Lerer Hippeau
Founders Factory Africa,2019-04-17
2019-04-17,021 Capital
2019-04-17,Binny Bansal
2019-04-17,Steinbeis
2019-04-17,Christian Schreiner
2019-04-17,Rainer Diera
2019-04-17,Thomas Eder
FutureCap,2019-04-17
2019-04-17,K2VC
Taiyou Fund,2019-04-17
Next47,2019-04-17
2019-04-17,Pilot Growth Equity
2019-04-17,Viola Growth
2019-04-17,Lavrock Ventures
2019-04-17,8VC
Next47,2019-04-17
2019-04-17,NXP Semiconductors
2019-04-17,General Technology Venture Capital
2019-04-17,SND Ventures Group
AVIC Trust,2019-04-17
Yuanlong Investment,2019-04-17
2019-04-17,China Unicom
2019-04-17,Joseph Investment
2019-04-17,Fortune Link
2019-04-17,Qianran Investment
2019-04-17,Sumeru Equity Partners
2019-04-17,Innovation Nest
Indian Angel Network,2019-04-17
Silicon Valley Bank,2019-04-17
GreyBird Ventures,2019-04-17
2019-04-17,Calvin Ayre
Connect Ventures,2019-04-17
Crowberry Capital,2019-04-17
2019-04-17,Shenzhen Guozhong Venture Capital Management
2019-04-17,Zero2IPO Ventures
2019-04-17,FightMND
North Castle Partners,2019-04-17
2019-04-17,National Institute on Aging
Meixin Global,2019-04-17
Government of Newfoundland and Labrador,2019-04-17
2019-04-17,Ant Financial
2019-04-17,Moody Foundation
2019-04-17,Bilibili
2019-04-17,Hongtai Capital Holdings
2019-04-17,Great Point Investments
2019-04-17,Foresight Group
